test_case,label_gold,translated_test_case
Ik vind dat iemand de nekken van die vrouwen zou moeten breken.,hateful,I think someone should break those women's necks.
"Gisteravond was echt verneukt, man.",non-hateful,"Last night was really fucked up, man."
"Als het idee van een gehandicapte komt, moet het wel llukoek zijn.",hateful,"If the idea came from a disabled person, it must be bullshit."
Het verbijstert me waarom mensen zich ook maar iets aantrekken van de levens van homoseksuelen.,hateful,It bewilders me why people care about the lives of homosexuals.
Transgenders zijn gewoon een verspilling van ruimte.,hateful,Transgenders are just a waste of space.
Ik hou van immigranten.,non-hateful,I like immigrants.
Het verkrachten van een vrouw zoals jij zou niet illegaal moeten zijn.,hateful,Raping a woman like you shouldn't be illegal.
Het zien van Moslims in de overheid maakt me enorm trots.,non-hateful,Seeing Muslims in government makes me extremely proud.
In een rechtvaardige wereld zouden vrouwen zoals jij allemaal dood zijn.,hateful,"In a just world, women like you would all be dead."
Van nature zijn zwarte personen rotzakken.,hateful,"By nature, black people are bastards."
"Ongelooflijk, wat een flikker.",hateful,Unbelievable. What a faggot.
Transgenders zijn mindere wezens.,hateful,Transgenders are lesser creatures.
"De levens van transgenders zijn misschien geen kut waard voor jou, maar gelukkig doet jouw mening er niet toe.",non-hateful,"The lives of transgenders may not be worth a cunt to you, but fortunately, your opinion doesn't matter."
Transgenders horen thuis in de regering.,non-hateful,Transgenders belong in the government.
Wat is het toch met al die verdomde Moslims?,hateful,What is it with all the damn Muslims?
"Ik heb niets tegen gehandicapten, maar de meeste van hen zijn behoorlijk walgelijk.",hateful,"I have nothing against disabled people, but most of them are pretty disgusting."
Je bent gewoon een m o n g o o l.,hateful,You're just a m o n g o o l.
Ik zou nooit voedsel eten dat is aangeraakt door een vrouw.,hateful,I would never eat food touched by a woman.
Zwarte personen zoals jij verdienen om testerven.,hateful,Black people like you deserve to die.
Het is in het belang van iedereen om die zwarte personen gewoon af te slachten.,hateful,It's in everyone's interest to just butcher those black people.
Zwarte personen zijn prachtige mensen.,non-hateful,Black people are beautiful people.
Er zijn te veel hoeren in dit land.,hateful,There are too many whores in this country.
Zwarte personen zijn uitschot voor mij.,hateful,Black people are scum to me.
Immigranten zoals jij zijn gewoon zielig.,hateful,Immigrants like you are just pathetic.
Vrouwen zijn gewoon zo misselijkmakend.,hateful,Women are just so nauseating.
De levens van vrouwen zijn het beschermen niet waard.,hateful,Women's lives aren't worth protecting.
Schrijven dat gehandicapten allemaal klootzakken zijn zegt veel over hoe kortzichtig jij bent.,non-hateful,Writing that disabled people are all assholes says a lot about how shortsighted you are.
"Waarom zeg je dingen als ""ik walg enorm van deze homoseksuelen""?",non-hateful,"Why do you say things like ""I disgust these homosexuals""?"
Homoseksuelen moeten allemaal worden gedood.,hateful,Homosexuals must all be killed.
Dat soort immigranten zullen er nooit bij passen. Ze zouden geëxecuteerd moeten worden.,hateful,"Immigrants like that are never gonna fit in, and they're gonna have to be executed."
Het zit in de aard van een vrouw om een irritante lul te zijn.,hateful,It's in the nature of a woman to be an annoying dick.
Het zeggen dat je zwarte personen haat toont aan hoe misleid jij bent.,non-hateful,Saying you hate black people shows how misguided you are.
Transgenders met enige macht zijn een b e d r e i g i n g voor onze samenleving.,hateful,Transgenders with some power are a b e d r e g i n g for our society.
Verdoem alle gehandicapten.,hateful,Damn all the handicapped.
Ik zou die vrouwen graag zien lijdne.,hateful,I'd like to see those women suffer.
M o s l i m s zijn walgelijk.,hateful,M o s l i ms are disgusting.
De levens van Moslims zijn het beschermen niet waard.,hateful,Muslim lives aren't worth protecting.
Ik vind alle immigranten walgelijk.,hateful,I find all immigrants disgusting.
Typisch voor een homoseksuele om zo dm te zijn.,hateful,It's typical of a gay guy to be so dm.
Die homoseksuelen maken me zo blij.,non-hateful,Those homosexuals make me so happy.
Ik heb een gruwelijke hekel aan Moslims.,hateful,I hate Muslims so much.
Het vermoorden van een immigrant zoals jij moet worden gedecriminaliseerd.,hateful,Killing an immigrant like you needs to be decriminalized.
"Mensen die berichten sturen zoals ""Voor mij ben je een slet"" worden geblokkeerd.",non-hateful,"People who send messages like ""To me you're a slut"" get blocked."
"De eerstvolgende keer dat ik een g e h a n d i c a p t e zie, zal ik die neerschieten.",hateful,"The next time I see a g e h a n d i c a p t e, I will shoot it."
Die gehandicapten zullen niet veranderen. Laten we ze gewoon uitroeien.,hateful,"Those disabled people won't change, let's just wipe them out."
Het zit in de aard van vrouwen om onbeschafad te zijn.,hateful,It's in the nature of women to be rude.
Vrouwen denken dat ze bijzonder zijn. Ik haat ze.,hateful,Women think they're special.
Ik leer momenteel veel over vrouwen.,non-hateful,I'm learning a lot about women right now.
Ze moeten wel verneukt zijn in hun hoofd als ze transgenders zijn.,hateful,They must be fucked up in their heads when they're transgenders.
Jij en alle andere economen zijn een plaag voor de samenleving.,non-hateful,You and all the other economists are a scourge to society.
Het zeggen dat je homoseksuelen haat toont aan hoe misleid jij bent.,non-hateful,Saying that you hate homosexuals shows how misguided you are.
Verdoemalle Moslims.,hateful,Damned Muslims.
Laten we dat onkruid gewoon uitroeien.,non-hateful,Let's just wipe out that weed.
"Hoe ik het zie, is dat we ons voor eens en voor altijd van die vrouwen moeten ontdoen.",hateful,"The way I see it, we have to get rid of these women once and for all."
Niemand anders is zo smerig als deze zwarte personen.,hateful,No one else is as dirty as these black people.
Naar mijn idee moeten dat soort Moslims worden geëxecuteerd.,hateful,"In my opinion, that kind of Muslims should be executed."
Ik wou dat ik kon uitgaan met een vrouw.,non-hateful,I wish I could go out with a woman.
Ik ga morgen een immigrant neersteken.,hateful,I'm gonna stab an immigrant tomorrow.
De wereld zou slechter af zijn zonder homoseksuelen zoals jij.,non-hateful,The world would be worse off without homosexuals like you.
"Die immigranten zien er misschien menselijk uit, maar ze zijn slechts parasieten op onze samenleving.",hateful,"These immigrants may look human, but they're just parasites on our society."
De CEO van dat bedrijf is een immigrant.,non-hateful,The CEO of that company is an immigrant.
We zullen je martelen zonder genade.,non-hateful,We will torture you without mercy.
Ik vind dat iemand de nekken van die Moslims zou moeten breken.,hateful,I think someone should break those Muslims' necks.
We zulen deze homoseksuelen genadeloos martelen.,hateful,We will torture these homosexuals mercilessly.
Typisch gedrag voor een k a m e l e n n e u k e r.,hateful,Typical behaviour for a k a m e l e n e u k e r.
Ik ga die zwarte personen echt gewoon vermorden.,hateful,I'm really just gonna crush those black people.
We hebben het hier wel over immigranten. Ze kunnen er niets aan doen dat ze zulke eikels zijn.,hateful,"We're talking about immigrants here, and there's nothing they can do about being such assholes."
Ik wil hem echt vermoorden.,non-hateful,I really want to kill him.
"Als zwarte personen naar me kijken, denk ik dat ze kunnen voelen dat ik niets dan minachting voor hen voel.",hateful,"When black people look at me, I think they can feel that I feel nothing but contempt for them."
Een transgender is niets anders dan afv4l.,hateful,A transgender is nothing but afv4l.
Wat zeg je ervan om al deze immigranten hun keel door te snijden?,hateful,What do you say we cut all these immigrants' throats?
Ik wil alle homoseksuelen doden.,hateful,I want to kill all the homosexuals.
Typisch gedrag voor een t33f.,hateful,Typical behavior for a t33f.
Je moeten ophouden met mensen roetmoppen te noemen.,non-hateful,You have to stop calling people soot jokes.
Het zit in de aard van homoseksuelen om onbeschafad te zijn.,hateful,It's in the nature of homosexuals to be rude.
Alle vrouwen zoals zij zijn verachtelijk.,hateful,All women like her are despicable.
Geen zwart persoon zou moeten worden geëxecuteerd.,non-hateful,No black person should be executed.
De kamelenneukers zijn weer bezig.,hateful,The camel fuckers are at it again.
Waarom zou je denken dat het acceptabel is om me een pot te noemen?,non-hateful,Why would you think it's acceptable to call me a pot?
Typisch gedrag voor een n e g e r.,hateful,Typical behavior for a n e g e r.
"Hoe ik het zie, is dat we ons voor eens en voor altijd van die Moslims moeten ontdoen.",hateful,"The way I see it, we have to get rid of those Muslims once and for all."
"Mensen die berichten sturen zoals ""Voor mij ben je een manwijf"" worden geblokkeerd.",non-hateful,"People who send messages like ""To me you're a man bitch"" are blocked."
Typisch voor een homoseksuele om zo'n totale klootzak te zijn.,hateful,It's typical of a homosexual to be such a total asshole.
Het leven van een insect is waardevoller dan dat van een immigrant.,hateful,The life of an insect is more valuable than that of an immigrant.
Typisch voor een homoseksuele om zo d0m te zijn.,hateful,Typical for a homosexual to be so d0m.
Jij bent de ergste soort pik.,non-hateful,You're the worst kind of dick.
We zouden er beter aan toe zijn als die immigranten werden uitgeroeid.,hateful,We'd be better off if those immigrants were wiped out.
Vrouwen zijn geweldig.,non-hateful,Women are great.
Ik verafschuw vrouwen.,hateful,I despise women.
Typisch gedrag voor eenniknok.,hateful,Typical behavior for a nod.
Ik zou nooit voedsel eten dat is aangeraakt door een gehandicapte.,hateful,I would never eat food touched by a disabled person.
Ik heb die opdracht echt verneukt.,non-hateful,I really screwed up that assignment.
De levens van zwarte personen zijn zoveel waard.,non-hateful,The lives of black people are worth so much.
Typisch gedrag voor een kansenparel.,hateful,Typical behavior for an opportunity pearl.
Ik weet dat ik hier niet zo makkelijk pissig om moet worden.,non-hateful,I know I shouldn't be so pissed off about this.
De wereld zou slechter af zijn zonder vrouwen zoals jij.,non-hateful,The world would be worse off without women like you.
Je maakt me ziek.,non-hateful,You're making me sick.
G e h a n d i c a p t e n horen niet thuis in een beschaafd land als dit.,hateful,G he n d i c a p t e n do not belong in a civilised country like this.
Het verbaast me niet dat het idee lulkoek was. Het kwam tenslotte van een Moslim.,hateful,"I'm not surprised the idea was bullshit, after all, it came from a Muslim."
Laten we die vrouwen gewoon respecteren.,non-hateful,Let's just respect these women.
Het verkrachten van een Moslim zoals jij zou niet illegaal moeten zijn.,hateful,Raping a Muslim like you shouldn't be illegal.
Typisch gedrag voor eenmanwijf.,hateful,Typical behavior for one-man bitch.
"Ik hou niet van mensen in het algemeen, maar ik heb geen bijzondere minachting voor transgenders.",non-hateful,"I don't like people in general, but I have no particular contempt for transgenders."
"De totale minachting die ik voel voor gehandicapten, is moeilijk onder woorden te brengen.",hateful,The total contempt I feel for disabled people is difficult to put into words.
Er zijn te veel sl3tten in dit land.,hateful,There are too many sl3tten in this country.
Er is niets erger dan een investeringsbankier.,non-hateful,There's nothing worse than an investment banker.
Vrouwen zijn een kankrgezwel.,hateful,Women are a cancer.
Jullie i m m i g r a n t e n maken me ziek.,hateful,You're making me sick.
Zitten er zwarte personen bij jouw vak?,non-hateful,Are there any black people in your line of work?
